inTemp,inHum,outTemp,outHum
18.20,62.60,26.90,70.90
18.20,62.70,26.90,70.80
18.10,62.80,26.90,70.90
18.20,63.10,26.90,70.90
18.20,63.10,26.90,70.80
18.20,63.30,26.90,70.80
18.20,63.30,26.90,70.80
18.10,63.50,26.90,70.80
18.10,63.70,26.90,70.70
18.10,63.70,26.90,70.70
18.10,63.70,26.90,70.80
18.00,63.70,27.00,70.80
18.00,63.70,27.00,70.80
18.00,63.70,27.00,70.80
18.00,63.50,27.00,70.80
18.00,63.40,26.90,70.70
18.00,63.30,26.90,70.60
18.00,63.40,26.90,70.60
17.90,63.60,26.90,70.60
17.90,63.80,27.00,71.00
17.90,63.90,26.90,71.00
17.90,64.00,26.90,71.00
17.90,64.10,26.90,70.90
17.90,64.10,26.90,70.90
17.80,64.20,26.90,70.90
17.90,64.30,26.90,71.00
17.80,64.20,26.90,70.80
17.80,64.20,26.90,70.80
17.80,64.30,26.90,70.80
17.80,64.30,26.90,70.80
17.80,64.40,26.90,70.80
17.80,64.60,26.90,70.80
17.80,64.80,26.90,70.70
17.70,64.80,26.90,70.70
17.70,64.90,26.90,70.70
17.80,64.80,26.90,70.80
17.70,64.80,26.80,70.60
17.60,64.80,26.90,70.70
17.60,64.70,26.90,70.80
17.70,64.80,26.90,70.80
17.70,64.90,26.80,70.70
17.70,64.90,26.80,70.80
17.60,64.90,26.90,70.90
17.60,64.90,26.80,70.80
17.60,64.80,26.80,70.90
17.60,64.80,26.80,71.00
17.60,65.00,26.80,71.00
17.60,65.10,26.80,71.00
17.50,65.40,26.80,71.00
17.50,65.50,26.80,71.30
17.50,65.50,26.80,71.60
17.50,65.50,26.80,71.60
17.60,65.50,26.80,71.60
17.50,65.60,26.80,72.30
17.50,65.50,26.70,72.10
17.50,65.60,26.70,72.60
17.50,65.70,26.70,72.30
17.50,65.80,26.70,72.50
17.50,66.00,26.70,72.60
17.50,66.00,26.70,72.40
17.40,66.00,26.70,72.30
17.40,66.20,26.70,72.70
17.40,66.20,26.70,72.70
17.40,66.30,26.70,72.90
17.40,66.40,26.70,73.50
17.40,66.40,26.60,73.50
17.40,66.40,26.70,73.00
17.30,66.40,26.70,72.70
17.40,66.60,26.60,72.80
17.30,66.70,26.60,72.90
17.40,66.80,26.60,72.80
17.30,66.80,26.60,73.10
17.40,67.00,26.60,73.30
17.40,67.00,26.60,72.90
17.30,67.10,26.60,72.70
17.30,67.10,26.60,72.70
17.20,67.00,26.50,72.60
17.30,67.30,26.60,72.80
17.30,67.50,26.50,72.80
17.20,67.40,26.60,72.90
17.30,67.50,26.50,72.80
17.20,67.40,26.50,72.80
17.10,67.50,26.50,73.10
17.20,67.50,26.50,73.00
